LifeEx;TV;PopDoc;GDP
LifeExp = 1992 Life expectancy at birth ;;;
TV = Televisions per 100 people ;;;
PopDoc = Population per doctor (1990);;;
GDP = real GDP per capita;;;
65,6;7,4;2330;2870
71,1;22,2;330;5120
76,7;49;440;16680
75,7;47;230;17690
71;41,4;930;11536
52,2;0,5;6670;1160
75,3;26,5;1120;9667
71;27;250;6850
75,7;45;310;17510
46,1;0,5;14290;1500
60,5;10,5;2080;2170
60,3;1,6;5150;4690
65,8;21,5;670;5240
71,9;25;320;4813
47,9;0,5;33330;666
48,2;0,1;16670;640
50,4;0,8;25000;1250
55,3;2,3;12500;2400
77,2;64;450;19320
47,2;0,4;25000;641
46,9;0,1;ner;447
71,9;20,5;2170;7060
70,5;3;730;2946
69;11,8;1150;5460
51,7;0,6;8320;2800
76;14,8;1030;5100
51,6;6,1;16670;1510
76,7;15;750;9844
72,1;41;310;6570
75,3;54;390;17880
67;8,4;930;3080
66,2;8,3;960;4140
60,9;10,9;1320;3600
65,2;9,2;1560;2110
46,4;0,2;33330;370
75,4;50;410;16130
76,6;40;350;18430
52,9;3,7;2790;3498
75,6;57;370;19770
55,4;1,5;25000;930
77,3;20;580;7680
70;35,3;2120;3374
64;5,2;2270;3180
43,9;0,7;50000;500
64,6;3,8;6220;1862
56;0,5;7140;925
65,2;7,2;3130;1820
77,4;28;1080;18520
70,1;41;340;6080
59,7;3,2;2440;1150
62;6;7140;2730
66,6;6,5;3140;4670
75;29;630;11430
76,2;26;350;13460
76,9;42;210;17040
73,3;13,2;2040;3670
78,6;62;610;19390
67,3;8,1;770;2895
58,6;1;71430;1350
70,4;20,7;1370;8320
74,6;27,1;690;13126
50,3;0,7;4350;1760
75,2;26;550;20800
54,9;2;8330;710
70,4;14,8;2700;7400
45,4;0,1;20000;480
47,4;2,3;11900;962
69,6;21,7;1180;7178
69,9;14,6;1850;7170
69;16,7;250;3500
62,5;7,4;4840;3340
46,5;0,3;50000;921
58;2,1;4620;2381
52,7;0,2;16670;1130
77,2;50;410;16820
75,3;44;580;13970
65,4;6,5;1670;2550
45,9;0,5;33330;542
51,9;3,2;66670;1360
76,9;42;500;17170
69,1;75,5;1060;9230
58,3;1,8;2940;1970
72,5;16,5;840;4910
67,2;5,8;1610;3420
63,6;9,7;970;3110
64,6;4,8;8330;2440
71,5;30;490;4500
74,4;18;490;9450
66;3,7;3570;1869
68,7;26,9;660;10850
48,7;3,6;20000;1680
71;8,7;2170;3683
42,4;1;14290;1020
74,2;37,8;920;14734
46,4;1,2;14290;759
62,2;9,7;1640;3885
77,4;40;280;12670
71,2;3,5;7140;2650
51,2;7,1;11110;1162
69,9;13;1260;3072
57,3;2,1;18820;2506
77,7;47;370;17490
77,8;40;630;21780
66,4;6;1160;5220
51,2;0,2;33330;570
68,7;11,4;5000;5270
54,4;0,6;12500;738
70,9;31,3;940;8380
67,1;8,1;1870;4690
66,7;17,4;1260;4840
75,6;81;420;22130
42,6;1;25000;1036
70;33;230;5180
70,8;11;1020;17000
75,8;43;710;16340
72,4;23,3;350;6670
70,1;17,1;650;8120
45,5;3,1;11110;1010
56,1;3;62500;2160
